"plays","loads","finishes","downloads","likes","comments","uri","name","created_time","sizes","unique_viewers","unique_loads","mean_percent","mean_seconds","sum_seconds"
0,2,0,0,0,0,/videos/642103621,"Rola 66 Isaque X Piaui",2021-11-03T22:11:30+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/642102398,"Rola 65 kleber X pedro",2021-11-03T22:06:52+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642101175,"Rola 64 Alex X Rafa Paganini",2021-11-03T22:01:53+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642099984,"Rola 63 Alex X Piaui",2021-11-03T21:57:17+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642096888,"Rola 61 Larissa M X Ana",2021-11-03T21:45:31+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642095425,"Rola 60 Alex munis X Rafael Paganini",2021-11-03T21:40:26+00:00,Array,0,1,0,0,0
0,4,0,0,0,0,/videos/642094181,"Rola 59 Isaque X Rafael Paganini",2021-11-03T21:36:09+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/642092924,"Rola 58 Isaque X Piaui",2021-11-03T21:31:30+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642091544,"Rola 57 kleber X Pedro",2021-11-03T21:26:48+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/642086635,"Rola 56 Lucas X Pedro Menezes",2021-11-03T21:11:14+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642080957,"Rola 55 Rui X Gabriel Almeida",2021-11-03T20:56:35+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/642076050,"Rola 54 Bruno X Faixa azul",2021-11-03T20:41:26+00:00,Array,0,1,0,0,0
0,2,0,0,0,0,/videos/642073524,"Rola 53 Alex Munis X Gabriel Almeida",2021-11-03T20:33:22+00:00,Array,0,1,0,0,0
0,3,0,0,0,0,/videos/642070679,"Rola 52 Tigrão X Yatan",2021-11-03T20:24:50+00:00,Array,0,2,0,0,0
0,3,0,0,0,0,/videos/642065530,"Rola 52 Rafa Paganini X Alex Munis",2021-11-03T20:09:14+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/642063327,"Rola 51 Kleber X kevin",2021-11-03T20:02:32+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642061316,"Rola 50 Kleber X Lucas",2021-11-03T19:56:06+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642056796,"Rola 49 Rui X Gabriel Almeida",2021-11-03T19:42:11+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642045862,"Rola 48 Alex X Piaui",2021-11-03T19:09:31+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642043314,"Rola 47 Jhonathan X Piaui",2021-11-03T19:03:16+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642041150,"Rola 46 Rui X Nicholas",2021-11-03T18:57:09+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/642039051,"Rola 45 Kleber X Lucas",2021-11-03T18:50:56+00:00,Array,0,2,0,0,0
0,1,0,0,0,0,/videos/642036660,"Rola 44 Kevin X Lucas",2021-11-03T18:43:59+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642034241,"Rola 44 Faixa azul X Lucas",2021-11-03T18:36:57+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642031944,"Rola 43 Kevin X Kleber",2021-11-03T18:30:34+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/642029736,"Rola 42 Anderson X Patrick",2021-11-03T18:24:27+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642026775,"Rola 40 Erich X Patrick",2021-11-03T18:16:20+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/642026116,"Rola 39 Erich X Anderson",2021-11-03T18:14:30+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642025386,"Rola 38 Erich X Rafa paganini",2021-11-03T18:12:42+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642024255,"Rola 37 Tigrão X Veloso",2021-11-03T18:09:51+00:00,Array,0,1,0,0,0
0,5,0,0,0,0,/videos/642023202,"Rola 36 Patrick X Alex",2021-11-03T18:06:47+00:00,Array,0,3,0,0,0
